대분류,중분류,소분류,사례수,성인_독서율,연도
성별,남성,2485,42.6,57.4,2023
성별,여성,2515,43.4,56.6,2023
연령별,20대 이하,789,74.5,25.5,2023
연령별,30대,772,68.0,32.0,2023
연령별,40대,905,47.9,52.1,2023
연령별,50대,973,36.9,63.1,2023
연령별,60대 이상,1560,15.7,84.3,2023
학력별,중졸 이하,642,7.4,92.6,2023
학력별,고졸 고퇴,1772,23.4,76.6,2023
학력별,대재 이상,2586,65.3,34.7,2023
월평균가구소득,200만원 미만,373,9.8,90.2,2023
월평균가구소득,200~300만원 미만,580,27.7,72.3,2023
월평균가구소득,300~400만원 미만,961,36.1,63.9,2023
월평균가구소득,400~500만원 미만,1041,46.7,53.3,2023
월평균가구소득,500만원 이상,2046,54.7,45.3,2023
