대분류,중분류,소분류,사례수,빈도유형,학생_독서빈도,연도
학교급,중학교,소계,806,29.2,11.6,2023
학교급,고등학교,소계,777,29.2,12.6,2023
학교급*성별,초등학교,남,417,29.2,24.8,2023
학교급*성별,초등학교,여,400,29.2,33.7,2023
학교급*성별,중학교,남,397,29.2,11.8,2023
학교급*성별,중학교,여,408,29.2,11.4,2023
학교급*성별,고등학교,남,430,29.2,13.8,2023
학교급*성별,고등학교,여,347,29.2,11.2,2023
학교급 학년,초등학교 4학년,소계,256,29.2,35.4,2023
학교급 학년,초등학교 5학년,소계,284,29.2,33.9,2023
학교급 학년,초등학교 6학년,소계,277,29.2,18.5,2023
학교급 학년,중학교 1학년,소계,275,29.2,15.7,2023
학교급 학년,중학교 2학년,소계,260,29.2,7.7,2023
학교급 학년,중학교 3학년,소계,271,29.2,11.1,2023
학교급 학년,고등학교 1학년,소계,307,29.2,8.3,2023
학교급 학년,고등학교 2학년,소계,250,29.2,14.3,2023
학교급 학년,고등학교 3학년,소계,221,29.2,16.7,2023
연간 독서량,없음,소계,100,29.2,0.0,2023
연간 독서량,1~5권,소계,733,29.2,4.4,2023
연간 독서량,6~10권,소계,401,29.2,10.7,2023
연간 독서량,11~15권,소계,218,29.2,9.3,2023
연간 독서량,16~20권,소계,120,29.2,18.7,2023
연간 독서량,21권 이상,소계,829,29.2,37.6,2023
학교급,중학교,소계,806,42.7,29.3,2023
학교급,고등학교,소계,777,42.7,20.4,2023
학교급*성별,초등학교,남,417,42.7,44.0,2023
학교급*성별,초등학교,여,400,42.7,41.4,2023
학교급*성별,중학교,남,397,42.7,28.8,2023
학교급*성별,중학교,여,408,42.7,29.8,2023
학교급*성별,고등학교,남,430,42.7,19.4,2023
학교급*성별,고등학교,여,347,42.7,21.7,2023
학교급 학년,초등학교 4학년,소계,256,42.7,46.9,2023
학교급 학년,초등학교 5학년,소계,284,42.7,43.1,2023
학교급 학년,초등학교 6학년,소계,277,42.7,38.4,2023
학교급 학년,중학교 1학년,소계,275,42.7,35.3,2023
학교급 학년,중학교 2학년,소계,260,42.7,23.2,2023
학교급 학년,중학교 3학년,소계,271,42.7,29.1,2023
학교급 학년,고등학교 1학년,소계,307,42.7,22.3,2023
학교급 학년,고등학교 2학년,소계,250,42.7,21.9,2023
학교급 학년,고등학교 3학년,소계,221,42.7,16.0,2023
연간 독서량,없음,소계,100,42.7,0.0,2023
연간 독서량,1~5권,소계,733,42.7,17.0,2023
연간 독서량,6~10권,소계,401,42.7,29.0,2023
연간 독서량,11~15권,소계,218,42.7,35.0,2023
연간 독서량,16~20권,소계,120,42.7,38.7,2023
연간 독서량,21권 이상,소계,829,42.7,45.9,2023
학교급,중학교,소계,806,18.2,28.6,2023
학교급,고등학교,소계,777,18.2,27.3,2023
학교급*성별,초등학교,남,417,18.2,19.2,2023
학교급*성별,초등학교,여,400,18.2,17.3,2023
학교급*성별,중학교,남,397,18.2,25.4,2023
학교급*성별,중학교,여,408,18.2,31.8,2023
학교급*성별,고등학교,남,430,18.2,27.1,2023
학교급*성별,고등학교,여,347,18.2,27.7,2023
학교급 학년,초등학교 4학년,소계,256,18.2,11.4,2023
학교급 학년,초등학교 5학년,소계,284,18.2,14.6,2023
학교급 학년,초등학교 6학년,소계,277,18.2,28.3,2023
학교급 학년,중학교 1학년,소계,275,18.2,31.3,2023
학교급 학년,중학교 2학년,소계,260,18.2,29.4,2023
학교급 학년,중학교 3학년,소계,271,18.2,25.2,2023
학교급 학년,고등학교 1학년,소계,307,18.2,29.5,2023
학교급 학년,고등학교 2학년,소계,250,18.2,26.6,2023
학교급 학년,고등학교 3학년,소계,221,18.2,25.1,2023
연간 독서량,없음,소계,100,18.2,0.0,2023
연간 독서량,1~5권,소계,733,18.2,28.8,2023
연간 독서량,6~10권,소계,401,18.2,37.2,2023
연간 독서량,11~15권,소계,218,18.2,37.8,2023
연간 독서량,16~20권,소계,120,18.2,31.6,2023
연간 독서량,21권 이상,소계,829,18.2,13.5,2023
학교급,중학교,소계,806,9.7,25.2,2023
학교급,고등학교,소계,777,9.7,32.5,2023
학교급*성별,초등학교,남,417,9.7,11.7,2023
학교급*성별,초등학교,여,400,9.7,7.6,2023
학교급*성별,중학교,남,397,9.7,26.8,2023
학교급*성별,중학교,여,408,9.7,23.6,2023
학교급*성별,고등학교,남,430,9.7,30.3,2023
학교급*성별,고등학교,여,347,9.7,35.2,2023
학교급 학년,초등학교 4학년,소계,256,9.7,6.3,2023
학교급 학년,초등학교 5학년,소계,284,9.7,8.4,2023
학교급 학년,초등학교 6학년,소계,277,9.7,14.2,2023
학교급 학년,중학교 1학년,소계,275,9.7,14.1,2023
학교급 학년,중학교 2학년,소계,260,9.7,32.2,2023
학교급 학년,중학교 3학년,소계,271,9.7,29.7,2023
학교급 학년,고등학교 1학년,소계,307,9.7,33.8,2023
학교급 학년,고등학교 2학년,소계,250,9.7,32.3,2023
학교급 학년,고등학교 3학년,소계,221,9.7,30.8,2023
연간 독서량,없음,소계,100,9.7,0.0,2023
연간 독서량,1~5권,소계,733,9.7,49.8,2023
연간 독서량,6~10권,소계,401,9.7,23.1,2023
연간 독서량,11~15권,소계,218,9.7,17.9,2023
연간 독서량,16~20권,소계,120,9.7,10.9,2023
연간 독서량,21권 이상,소계,829,9.7,3.0,2023
학교급,중학교,소계,806,0.2,5.3,2023
학교급,고등학교,소계,777,0.2,7.2,2023
학교급*성별,초등학교,남,417,0.2,0.4,2023
학교급*성별,초등학교,여,400,0.2,0.0,2023
학교급*성별,중학교,남,397,0.2,7.2,2023
학교급*성별,중학교,여,408,0.2,3.4,2023
학교급*성별,고등학교,남,430,0.2,9.5,2023
학교급*성별,고등학교,여,347,0.2,4.3,2023
학교급 학년,초등학교 4학년,소계,256,0.2,0.0,2023
학교급 학년,초등학교 5학년,소계,284,0.2,0.0,2023
학교급 학년,초등학교 6학년,소계,277,0.2,0.6,2023
학교급 학년,중학교 1학년,소계,275,0.2,3.6,2023
학교급 학년,중학교 2학년,소계,260,0.2,7.6,2023
학교급 학년,중학교 3학년,소계,271,0.2,4.9,2023
학교급 학년,고등학교 1학년,소계,307,0.2,6.0,2023
학교급 학년,고등학교 2학년,소계,250,0.2,4.9,2023
학교급 학년,고등학교 3학년,소계,221,0.2,11.3,2023
연간 독서량,없음,소계,100,0.2,100.0,2023
연간 독서량,1~5권,소계,733,0.2,0.0,2023
