시도명,시군구명,도서관수,열람좌석수,자료수_도서,대출가능권수,대출자수,대출권수,자료구입비_천원
강원특별자치도,강릉시,11,1903,524801,55,143716.0,343745.0,315864.0
강원특별자치도,고성군,3,456,147310,15,24619.0,117695.0,202740.0
강원특별자치도,동해시,7,1082,441998,59,20371.0,314668.0,293445.0
강원특별자치도,삼척시,3,834,337883,15,8968.0,117373.0,165380.0
강원특별자치도,속초시,4,1064,277112,20,44673.0,180368.0,186800.0
강원특별자치도,양구군,8,476,117419,33,1731.0,42260.0,60983.0
강원특별자치도,양양군,5,323,79038,5,14994.0,47328.0,45000.0
강원특별자치도,영월군,4,525,265358,18,15536.0,37985.0,64570.0
강원특별자치도,원주시,6,3054,807124,34,65171.0,961081.0,738099.0
강원특별자치도,인제군,6,659,182821,30,3538.0,73995.0,226084.0
강원특별자치도,정선군,3,390,138542,17,15355.0,45976.0,375506.0
강원특별자치도,철원군,4,807,226367,26,32242.0,89316.0,173644.0
강원특별자치도,춘천시,10,2456,811782,58,168429.0,785457.0,953780.0
강원특별자치도,태백시,3,567,247745,15,9888.0,95627.0,205268.0
강원특별자치도,평창군,8,583,232134,40,23628.0,72521.0,127215.0
강원특별자치도,홍천군,6,789,280843,30,25915.0,95543.0,165340.0
강원특별자치도,화천군,3,371,108740,15,19469.0,49592.0,66375.0
강원특별자치도,횡성군,11,837,265878,55,10456.0,65787.0,161711.0
경기도,가평군,4,398,364333,28,59805.0,130187.0,114169.0
경기도,고양시,25,1292,1996853,159,442634.0,3659420.0,2158623.0
경기도,과천시,4,2890,736831,30,61915.0,816796.0,496959.0
경기도,광명시,6,3324,931216,42,91570.0,1099030.0,778865.0
경기도,광주시,15,2506,838978,93,83748.0,944949.0,890445.0
경기도,구리시,8,1732,708410,40,66028.0,718093.0,403401.0
경기도,군포시,42,4822,1245847,204,78651.0,1333845.0,609786.0
경기도,김포시,6,1879,764206,81,87448.0,1922278.0,554920.0
경기도,남양주시,13,5441,1437227,260,154649.0,2011947.0,770909.0
경기도,동두천시,6,771,379169,60,16407.0,114348.0,399925.0
경기도,부천시,35,7486,2087093,175,270027.0,2025976.0,1441861.0
경기도,성남시,41,13414,2813062,250,464400.0,4317339.0,2131235.0
경기도,수원시,26,11079,3941215,186,471049.0,3776274.0,2229247.0
경기도,시흥시,31,4295,1187942,310,62523.0,1937049.0,821291.0
