시도명,시군구명,도서관수,열람좌석수,자료수_도서,대출가능권수,대출자수,대출권수,자료구입비_천원,대출자수_대비_도서관수,대출권수_대비_열람좌석수,대출권수_대비_자료수_도서
강원특별자치도,강릉시,11,1903,524801,55,143716.0,343745.0,315864.0,13065.09090909091,180.63321071991592,0.65500065739204
강원특별자치도,고성군,3,456,147310,15,24619.0,117695.0,202740.0,8206.333333333334,258.1030701754386,0.7989613739732537
강원특별자치도,동해시,7,1082,441998,59,20371.0,314668.0,293445.0,2910.1428571428573,290.82070240295747,0.7119217734016896
강원특별자치도,삼척시,3,834,337883,15,8968.0,117373.0,165380.0,2989.3333333333335,140.73501199040768,0.347377642556743
강원특별자치도,속초시,4,1064,277112,20,44673.0,180368.0,186800.0,11168.25,169.5187969924812,0.6508848407863969
강원특별자치도,양구군,8,476,117419,33,1731.0,42260.0,60983.0,216.375,88.78151260504201,0.35990768103969545
강원특별자치도,양양군,5,323,79038,5,14994.0,47328.0,45000.0,2998.8,146.52631578947367,0.5988005769376755
강원특별자치도,영월군,4,525,265358,18,15536.0,37985.0,64570.0,3884.0,72.35238095238095,0.1431462401736522
강원특별자치도,원주시,6,3054,807124,34,65171.0,961081.0,738099.0,10861.833333333334,314.6958087753766,1.1907476422458012
강원특별자치도,인제군,6,659,182821,30,3538.0,73995.0,226084.0,589.6666666666666,112.28376327769348,0.40474015567139443
강원특별자치도,정선군,3,390,138542,17,15355.0,45976.0,375506.0,5118.333333333333,117.88717948717948,0.3318560436546318
강원특별자치도,철원군,4,807,226367,26,32242.0,89316.0,173644.0,8060.5,110.67657992565056,0.3945628117172556
강원특별자치도,춘천시,10,2456,811782,58,168429.0,785457.0,953780.0,16842.9,319.81148208469057,0.9675713430453003
강원특별자치도,태백시,3,567,247745,15,9888.0,95627.0,205268.0,3296.0,168.65432098765433,0.38598962643040224
강원특별자치도,평창군,8,583,232134,40,23628.0,72521.0,127215.0,2953.5,124.39279588336193,0.31241007349203476
강원특별자치도,홍천군,6,789,280843,30,25915.0,95543.0,165340.0,4319.166666666667,121.09378960709759,0.3402007527337338
강원특별자치도,화천군,3,371,108740,15,19469.0,49592.0,66375.0,6489.666666666667,133.6711590296496,0.4560603273864263
강원특별자치도,횡성군,11,837,265878,55,10456.0,65787.0,161711.0,950.5454545454545,78.59856630824373,0.24743303319567622
경기도,가평군,4,398,364333,28,59805.0,130187.0,114169.0,14951.25,327.1030150753769,0.35732969563558614
경기도,고양시,25,1292,1996853,159,442634.0,3659420.0,2158623.0,17705.36,2832.3684210526317,1.832593586007583
경기도,과천시,4,2890,736831,30,61915.0,816796.0,496959.0,15478.75,282.62837370242215,1.1085255642067178
경기도,광명시,6,3324,931216,42,91570.0,1099030.0,778865.0,15261.666666666666,330.63477737665465,1.1802095324822597
경기도,광주시,15,2506,838978,93,83748.0,944949.0,890445.0,5583.2,377.0746209098164,1.126309629096353
경기도,구리시,8,1732,708410,40,66028.0,718093.0,403401.0,8253.5,414.6033487297922,1.0136686382179811
경기도,군포시,42,4822,1245847,204,78651.0,1333845.0,609786.0,1872.642857142857,276.6165491497304,1.0706330713161407
경기도,김포시,6,1879,764206,81,87448.0,1922278.0,554920.0,14574.666666666666,1023.0324640766365,2.515392446539284
경기도,남양주시,13,5441,1437227,260,154649.0,2011947.0,770909.0,11896.076923076924,369.7752251424371,1.399881160039437
경기도,동두천시,6,771,379169,60,16407.0,114348.0,399925.0,2734.5,148.3112840466926,0.3015752870092228
경기도,부천시,35,7486,2087093,175,270027.0,2025976.0,1441861.0,7715.057142857143,270.63531926262357,0.9707166858400655
경기도,성남시,41,13414,2813062,250,464400.0,4317339.0,2131235.0,11326.829268292682,321.8532130609811,1.534747190072597
경기도,수원시,26,11079,3941215,186,471049.0,3776274.0,2229247.0,18117.26923076923,340.8497156783103,0.9581497076409179
경기도,시흥시,31,4295,1187942,310,62523.0,1937049.0,821291.0,2016.8709677419354,451.0009313154831,1.6305922343010013
경기도,안산시,24,5189,1576085,240,103831.0,862019.0,1917979.0,4326.291666666667,166.12430140682213,0.5469368720595653
경기도,안성시,16,1280,1075897,160,27077.0,721460.0,590886.0,1692.3125,563.640625,0.6705660486087422
경기도,안양시,11,6030,1468415,55,162705.0,2103834.0,1389375.0,14791.363636363636,348.89452736318407,1.4327244001184951
경기도,양주시,10,1961,702681,70,93492.0,699836.0,219982.0,9349.2,356.87710351861296,0.9959512211088674
경기도,양평군,12,1300,443134,84,20483.0,309643.0,351730.0,1706.9166666666667,238.18692307692308,0.6987570351180455
경기도,여주시,9,1249,473414,90,20458.0,367540.0,421249.0,2273.1111111111113,294.2674139311449,0.7763606483965408
경기도,연천군,2,237,171291,20,4021.0,90550.0,55760.0,2010.5,382.0675105485232,0.5286325609635065
경기도,오산시,7,1520,624490,49,47948.0,759943.0,352302.0,6849.714285714285,499.9625,1.2169017918621596
경기도,용인시,27,7517,2675113,281,410053.0,5760860.0,2555098.0,15187.148148148148,766.3775442330717,2.153501553018508
